Time,Counts,Total Counts
1713996637.0134628,2,2
1713996647.0174623,0,2
1713996657.0254512,0,2
1713996667.0294454,0,2
1713996677.0396342,1,3
1713996687.0497887,0,3
1713996697.0534608,1,4
1713996707.0636032,0,4
1713996717.0737472,0,4
1713996727.0838895,0,4
1713996737.0940351,1,5
1713996747.1041827,1,6
1713996757.1143336,1,7
1713996767.12448,1,8
1713996777.1254659,0,8
1713996787.1270971,1,9
1713996797.1334422,2,11
1713996807.1414354,1,12
1713996817.1515715,1,13
1713996827.1534681,1,14
1713996837.163614,0,14
1713996847.1737602,0,14
1713996857.1839068,1,15
1713996867.19346,0,15
1713996877.2036011,0,15
1713996887.213752,0,15
1713996897.2238946,0,15
1713996907.2294617,0,15
1713996917.2396057,0,15
1713996927.2494464,0,15
