Time,Latitude,Longitude,counts
1713996592.32,0,0,1033.5
1713996594.32,0,0,46.0
1713996596.32,0,0,50.0
1713996598.31,0,0,50.0
1713996600.32,0,0,42.0
1713996602.32,0,0,45.0
1713996604.32,0,0,53.0
1713996606.32,0,0,39.5
1713996608.31,0,0,39.5
1713996610.32,0,0,52.0
1713996612.32,0,0,49.0
1713996614.32,0,0,41.0
1713996616.3,0,0,41.0
1713996618.33,0,0,56.0
1713996620.33,0,0,45.5
1713996622.32,0,0,53.0
1713996624.33,0,0,51.5
1713996626.31,0,0,51.5
1713996628.33,0,0,55.0
1713996630.32,0,0,55.0
1713996632.32,0,0,49.5
1713996634.32,0,0,58.0
1713996636.31,0,0,58.0
1713996638.32,0,0,37.5
1713996640.33,0,0,57.5
1713996642.33,0,0,54.0
1713996644.3,0,0,54.0
1713996646.32,0,0,55.0
1713996648.32,0,0,55.0
1713996650.32,0,0,60.0
1713996652.33,0,0,57.0
1713996654.3,0,0,57.0
1713996656.33,0,0,43.0
1713996658.33,0,0,52.5
1713996660.33,0,0,62.5
1713996662.32,0,0,51.5
1713996664.3,0,0,51.5
1713996666.32,0,0,53.5
1713996668.32,0,0,47.5
1713996670.33,0,0,59.0
1713996672.31,0,0,59.0
1713996674.32,0,0,48.0
1713996676.32,0,0,51.5
1713996678.32,0,0,43.0
1713996680.33,0,0,51.0
1713996682.3,0,0,51.0
1713996684.32,0,0,59.5
1713996686.32,0,0,54.0
1713996688.33,0,0,56.5
1713996690.34,0,0,53.0
1713996692.3,0,0,53.0
1713996694.32,0,0,51.5
1713996696.32,0,0,56.5
1713996698.32,0,0,47.0
1713996700.31,0,0,47.0
1713996702.32,0,0,49.0
1713996704.32,0,0,44.5
1713996706.32,0,0,43.5
1713996708.32,0,0,54.0
1713996710.31,0,0,54.0
1713996712.33,0,0,52.0
1713996714.32,0,0,49.5
1713996716.32,0,0,56.5
1713996718.31,0,0,56.5
1713996720.34,0,0,48.0
1713996722.33,0,0,50.5
1713996724.33,0,0,49.0
1713996726.32,0,0,43.0
1713996728.3,0,0,43.0
1713996730.33,0,0,53.5
1713996732.33,0,0,59.5
1713996734.32,0,0,55.0
1713996736.32,0,0,44.5
1713996738.31,0,0,44.5
1713996740.32,0,0,54.5
1713996742.33,0,0,47.5
1713996744.33,0,0,42.5
1713996746.32,0,0,42.5
1713996748.33,0,0,59.5
1713996750.32,0,0,53.5
1713996752.33,0,0,56.5
1713996754.32,0,0,53.5
1713996756.3,0,0,53.5
1713996758.33,0,0,50.5
1713996760.33,0,0,46.5
1713996762.33,0,0,50.0
1713996764.32,0,0,44.5
1713996766.3,0,0,44.5
1713996768.32,0,0,56.5
1713996770.32,0,0,60.0
1713996772.32,0,0,52.5
1713996774.3,0,0,52.5
1713996776.32,0,0,51.5
1713996778.32,0,0,54.0
1713996780.32,0,0,44.5
1713996782.32,0,0,54.0
1713996784.3,0,0,54.0
1713996786.32,0,0,48.0
1713996788.32,0,0,51.5
1713996790.32,0,0,46.5
1713996792.3,0,0,46.5
1713996794.32,0,0,47.0
1713996796.33,0,0,48.0
1713996798.33,0,0,49.0
1713996800.32,0,0,54.5
1713996802.3,0,0,54.5
1713996804.33,0,0,47.0
1713996806.32,0,0,56.0
1713996808.32,0,0,60.5
1713996810.32,0,0,51.5
1713996812.3,0,0,51.5
1713996814.32,0,0,49.5
1713996816.33,0,0,51.0
1713996818.32,0,0,56.5
1713996820.3,0,0,56.5
1713996822.32,0,0,54.5
1713996824.32,0,0,51.5
1713996826.33,0,0,53.5
1713996828.32,0,0,52.0
1713996830.31,0,0,52.0
1713996832.33,0,0,54.0
1713996834.32,0,0,47.5
1713996836.33,0,0,55.0
1713996838.31,0,0,55.0
1713996840.32,0,0,44.5
1713996842.32,0,0,47.5
1713996844.33,0,0,47.5
1713996846.32,0,0,46.5
1713996848.3,0,0,46.5
1713996850.32,0,0,49.5
1713996852.32,0,0,48.0
1713996854.32,0,0,50.5
1713996856.32,0,0,46.5
1713996858.3,0,0,46.5
1713996860.32,0,0,56.5
1713996862.32,0,0,50.5
1713996864.32,0,0,49.0
1713996866.31,0,0,49.0
1713996868.32,0,0,57.5
1713996870.33,0,0,50.5
1713996872.33,0,0,52.5
1713996874.32,0,0,39.5
1713996876.31,0,0,39.5
1713996878.32,0,0,54.0
1713996880.32,0,0,59.0
1713996882.32,0,0,47.0
1713996884.32,0,0,50.0
1713996886.32,0,0,50.0
1713996888.32,0,0,51.0
1713996890.32,0,0,43.0
1713996892.33,0,0,63.5
1713996894.31,0,0,63.5
1713996896.32,0,0,50.0
