Time,Latitude,Longitude,counts
1714001290.57,0,0,2162.0
1714001292.57,0,0,172.0
1714001294.57,0,0,162.5
1714001296.56,0,0,162.5
1714001298.57,0,0,159.0
1714001300.57,0,0,169.0
1714001302.57,0,0,163.0
1714001304.57,0,0,180.0
1714001306.56,0,0,180.0
1714001308.58,0,0,171.0
1714001310.57,0,0,157.5
1714001312.57,0,0,153.0
1714001314.56,0,0,153.0
1714001316.57,0,0,168.0
1714001318.58,0,0,172.5
1714001320.57,0,0,180.0
1714001322.57,0,0,161.5
1714001324.56,0,0,161.5
1714001326.58,0,0,176.5
1714001328.58,0,0,144.0
1714001330.57,0,0,168.5
1714001332.57,0,0,177.0
1714001334.55,0,0,177.0
1714001336.57,0,0,167.0
1714001338.58,0,0,161.5
1714001340.57,0,0,158.5
1714001342.55,0,0,158.5
1714001344.57,0,0,160.0
1714001346.57,0,0,171.5
1714001348.58,0,0,167.5
1714001350.57,0,0,155.5
1714001352.55,0,0,155.5
1714001354.57,0,0,152.0
1714001356.57,0,0,171.5
1714001358.58,0,0,167.0
1714001360.57,0,0,174.5
1714001362.55,0,0,174.5
1714001364.58,0,0,164.0
1714001366.57,0,0,175.0
1714001368.58,0,0,170.5
1714001370.55,0,0,170.5
1714001372.57,0,0,164.5
1714001374.57,0,0,166.0
1714001376.57,0,0,165.0
1714001378.57,0,0,159.0
1714001380.55,0,0,159.0
1714001382.58,0,0,174.5
1714001384.58,0,0,162.5
1714001386.57,0,0,172.5
1714001388.56,0,0,172.5
1714001390.57,0,0,169.5
1714001392.57,0,0,157.0
1714001394.57,0,0,185.0
1714001396.57,0,0,175.5
1714001398.57,0,0,175.5
1714001400.57,0,0,180.0
1714001402.57,0,0,173.0
1714001404.57,0,0,160.5
1714001406.57,0,0,169.5
1714001408.57,0,0,169.5
1714001410.57,0,0,166.0
1714001412.57,0,0,161.5
1714001414.57,0,0,163.0
1714001416.55,0,0,163.0
1714001418.57,0,0,174.0
1714001420.57,0,0,172.0
1714001422.57,0,0,163.0
1714001424.57,0,0,177.5
1714001426.55,0,0,177.5
1714001428.57,0,0,164.0
1714001430.57,0,0,179.0
1714001432.58,0,0,173.0
1714001434.56,0,0,173.0
1714001436.58,0,0,152.5
1714001438.57,0,0,179.0
1714001440.58,0,0,154.5
1714001442.57,0,0,169.5
1714001444.56,0,0,169.5
1714001446.58,0,0,172.0
1714001448.57,0,0,177.5
1714001450.57,0,0,160.0
1714001452.57,0,0,171.0
1714001454.55,0,0,171.0
1714001456.58,0,0,166.5
1714001458.58,0,0,182.0
1714001460.58,0,0,168.5
1714001462.55,0,0,168.5
1714001464.57,0,0,176.5
1714001466.57,0,0,155.5
1714001468.57,0,0,166.5
1714001470.57,0,0,163.5
1714001472.55,0,0,163.5
1714001474.57,0,0,176.0
1714001476.58,0,0,171.5
1714001478.58,0,0,171.0
1714001480.57,0,0,157.5
1714001482.55,0,0,157.5
1714001484.57,0,0,169.0
1714001486.58,0,0,164.5
1714001488.57,0,0,173.0
1714001490.55,0,0,173.0
1714001492.57,0,0,152.5
1714001494.58,0,0,146.0
1714001496.57,0,0,169.0
1714001498.57,0,0,180.5
1714001500.55,0,0,180.5
1714001502.57,0,0,167.5
1714001504.57,0,0,166.5
1714001506.58,0,0,174.0
1714001508.57,0,0,175.5
1714001510.58,0,0,175.5
1714001512.57,0,0,156.0
1714001514.57,0,0,163.5
1714001516.57,0,0,155.5
1714001518.55,0,0,155.5
1714001520.57,0,0,184.5
1714001522.58,0,0,164.5
1714001524.58,0,0,172.0
1714001526.58,0,0,165.0
1714001528.55,0,0,165.0
1714001530.57,0,0,163.5
1714001532.57,0,0,161.5
1714001534.57,0,0,171.5
1714001536.55,0,0,171.5
1714001538.58,0,0,167.5
1714001540.57,0,0,178.5
1714001542.57,0,0,168.5
1714001544.58,0,0,161.5
1714001546.56,0,0,161.5
1714001548.57,0,0,169.0
1714001550.57,0,0,180.5
1714001552.58,0,0,179.5
1714001554.57,0,0,175.0
1714001556.56,0,0,175.0
1714001558.57,0,0,172.5
1714001560.57,0,0,166.0
1714001562.57,0,0,152.0
1714001564.56,0,0,152.0
1714001566.58,0,0,158.5
1714001568.58,0,0,165.0
1714001570.57,0,0,172.5
1714001572.58,0,0,189.5
1714001574.55,0,0,189.5
1714001576.57,0,0,157.5
1714001578.57,0,0,173.5
1714001580.57,0,0,169.0
1714001582.57,0,0,168.5
1714001584.55,0,0,168.5
1714001586.57,0,0,162.0
1714001588.6,0,0,177.5
1714001590.57,0,0,178.5
