Time,Counts,Total Counts
1714000956.8131344,1,1
1714000966.8233042,6,7
1714000976.8236883,11,18
1714000986.8337905,7,25
1714000996.8439336,5,30
1714001006.8540869,6,36
1714001016.864216,10,46
1714001026.874343,6,52
1714001036.8844743,6,58
1714001046.8909082,4,62
1714001056.9010534,6,68
1714001066.9111965,6,74
1714001076.9213414,3,77
1714001086.9315083,7,84
1714001096.9416497,8,92
1714001106.9517953,6,98
1714001116.9619412,5,103
1714001126.9720905,12,115
1714001136.9822407,5,120
1714001146.9923766,6,126
1714001157.002496,9,135
1714001167.0126781,4,139
1714001177.0228338,5,144
1714001187.0329795,4,148
1714001197.043126,3,151
1714001207.0532732,4,155
1714001217.0634181,2,157
1714001227.0735567,6,163
1714001237.0837016,4,167
1714001247.0939846,7,174
