Time,Latitude,Longitude,counts
1714000951.67,0,0,4100.0
1714000953.65,0,0,181.0
1714000955.63,0,0,181.0
1714000957.7,0,0,199.0
1714000959.66,0,0,174.0
1714000961.65,0,0,198.0
1714000963.65,0,0,201.0
1714000965.63,0,0,201.0
1714000967.65,0,0,199.0
1714000969.65,0,0,182.5
1714000971.65,0,0,209.5
1714000973.65,0,0,179.0
1714000975.62,0,0,179.0
1714000977.65,0,0,181.0
1714000979.65,0,0,185.5
1714000981.65,0,0,189.5
1714000983.64,0,0,189.5
1714000985.65,0,0,185.5
1714000987.66,0,0,195.5
1714000989.65,0,0,178.5
1714000991.65,0,0,179.0
1714000993.63,0,0,179.0
1714000995.65,0,0,186.5
1714000997.65,0,0,187.5
1714000999.65,0,0,201.0
1714001001.65,0,0,199.5
1714001003.66,0,0,199.5
1714001005.65,0,0,185.0
1714001007.66,0,0,198.0
1714001009.66,0,0,195.5
1714001011.64,0,0,195.5
1714001013.65,0,0,196.5
1714001015.65,0,0,182.0
1714001017.65,0,0,197.0
1714001019.66,0,0,173.5
1714001021.62,0,0,173.5
1714001023.65,0,0,195.0
1714001025.65,0,0,167.5
1714001027.65,0,0,196.0
1714001029.65,0,0,196.0
1714001031.65,0,0,191.0
1714001033.65,0,0,194.5
1714001035.65,0,0,169.5
1714001037.65,0,0,210.0
1714001039.63,0,0,210.0
1714001041.65,0,0,191.0
1714001043.65,0,0,192.5
1714001045.65,0,0,181.0
1714001047.69,0,0,177.0
1714001049.62,0,0,177.0
1714001051.65,0,0,189.0
1714001053.65,0,0,196.5
1714001055.65,0,0,182.5
1714001057.62,0,0,182.5
1714001059.66,0,0,202.0
1714001061.65,0,0,199.0
1714001063.65,0,0,185.0
1714001065.65,0,0,198.0
1714001067.63,0,0,198.0
1714001069.65,0,0,192.0
1714001071.65,0,0,199.0
1714001073.65,0,0,178.5
1714001075.63,0,0,178.5
1714001077.65,0,0,191.0
1714001079.65,0,0,205.0
1714001081.65,0,0,193.0
1714001083.65,0,0,201.0
1714001085.64,0,0,201.0
1714001087.65,0,0,176.5
1714001089.65,0,0,201.5
1714001091.65,0,0,198.0
1714001093.65,0,0,178.0
1714001095.64,0,0,178.0
1714001097.65,0,0,198.5
1714001099.65,0,0,196.0
1714001101.65,0,0,187.5
1714001103.62,0,0,187.5
1714001105.65,0,0,197.0
1714001107.69,0,0,171.0
1714001109.65,0,0,196.5
1714001111.65,0,0,193.5
1714001113.62,0,0,193.5
1714001115.65,0,0,180.0
1714001117.65,0,0,200.0
1714001119.65,0,0,192.0
1714001121.63,0,0,192.0
1714001123.65,0,0,189.0
1714001125.65,0,0,211.0
1714001127.67,0,0,195.5
1714001129.65,0,0,191.0
1714001131.63,0,0,191.0
1714001133.65,0,0,191.5
1714001135.65,0,0,201.0
1714001137.65,0,0,196.5
1714001139.65,0,0,168.0
1714001141.62,0,0,168.0
1714001143.65,0,0,192.0
1714001145.65,0,0,195.5
1714001147.65,0,0,187.5
1714001149.63,0,0,187.5
1714001151.65,0,0,187.5
1714001153.65,0,0,175.0
1714001155.65,0,0,208.5
1714001157.65,0,0,181.5
1714001159.62,0,0,181.5
1714001161.65,0,0,197.5
1714001163.65,0,0,189.0
1714001165.65,0,0,196.5
1714001167.65,0,0,176.5
1714001169.63,0,0,176.5
1714001171.65,0,0,163.5
1714001173.65,0,0,201.5
1714001175.65,0,0,176.5
1714001177.63,0,0,176.5
1714001179.65,0,0,184.0
1714001181.65,0,0,184.5
1714001183.65,0,0,178.0
1714001185.65,0,0,185.0
1714001187.62,0,0,185.0
1714001189.65,0,0,184.5
1714001191.65,0,0,191.0
1714001193.65,0,0,172.5
1714001195.65,0,0,203.0
1714001197.64,0,0,203.0
1714001199.65,0,0,180.5
1714001201.65,0,0,184.5
1714001203.65,0,0,196.5
1714001205.63,0,0,196.5
1714001207.65,0,0,186.5
1714001209.65,0,0,177.0
1714001211.65,0,0,190.0
1714001213.65,0,0,182.5
1714001215.63,0,0,182.5
1714001217.65,0,0,183.5
1714001219.65,0,0,214.0
1714001221.65,0,0,207.0
1714001223.63,0,0,207.0
1714001225.65,0,0,180.0
1714001227.65,0,0,203.5
1714001229.65,0,0,180.0
1714001231.65,0,0,202.5
1714001233.62,0,0,202.5
1714001235.65,0,0,200.0
1714001237.65,0,0,194.5
1714001239.65,0,0,184.0
1714001241.65,0,0,177.0
1714001243.63,0,0,177.0
1714001245.65,0,0,194.0
1714001247.65,0,0,191.5
1714001249.66,0,0,191.5
