Time,Counts,Total Counts
1714001631.8091202,1,1
1714001641.8175163,0,1
1714001651.827648,1,2
1714001661.8377748,0,2
1714001671.8479235,2,4
1714001681.8580663,1,5
1714001691.8614607,1,6
1714001701.869467,0,6
1714001711.879613,0,6
1714001721.889761,2,8
1714001731.8934584,2,10
1714001741.9036024,0,10
1714001751.9134636,2,12
1714001761.923609,0,12
1714001771.933742,0,12
1714001781.943354,1,13
1714001791.9495583,1,14
1714001801.9597173,0,14
1714001811.9698672,1,15
1714001821.9800155,1,16
1714001831.9814646,3,19
1714001841.991612,2,21
1714001852.0017552,1,22
1714001862.0119047,0,22
1714001872.022057,1,23
1714001882.0294604,2,25
1714001892.039619,2,27
1714001902.0497503,0,27
1714001912.0574393,1,28
1714001922.0675774,2,30
