Time,Counts,Total Counts
1714001962.4774578,0,0
1714001972.485449,0,0
1714001982.495584,0,0
1714001992.5057247,1,1
1714002002.5158784,3,4
1714002012.5260205,1,5
1714002022.5362127,1,6
1714002032.5463555,2,8
1714002042.5565047,0,8
1714002052.5666478,3,11
1714002062.5767932,0,11
1714002072.586939,0,11
1714002082.5970888,2,13
1714002092.6072233,0,13
1714002102.6134417,1,14
1714002112.6222794,1,15
1714002122.6324232,0,15
1714002132.6425717,1,16
1714002142.6527138,0,16
1714002152.662859,0,16
1714002162.6730027,0,16
1714002172.6831505,1,17
1714002182.6932964,1,18
1714002192.697464,1,19
1714002202.70761,0,19
1714002212.7177553,2,21
1714002222.7278814,2,23
1714002232.7380004,0,23
1714002242.7481163,0,23
1714002252.7582533,1,24
