Time,Latitude,Longitude,counts
1714001956.06,0,0,589.0
1714001958.07,0,0,71.5
1714001960.03,0,0,71.5
1714001962.05,0,0,50.5
1714001964.05,0,0,74.5
1714001966.05,0,0,74.5
1714001968.05,0,0,71.5
1714001970.04,0,0,71.5
1714001972.05,0,0,72.5
1714001974.05,0,0,65.5
1714001976.05,0,0,62.5
1714001978.05,0,0,69.5
1714001980.03,0,0,69.5
1714001982.05,0,0,75.5
1714001984.05,0,0,67.5
1714001986.05,0,0,68.0
1714001988.02,0,0,68.0
1714001990.05,0,0,75.0
1714001992.05,0,0,67.5
1714001994.06,0,0,73.5
1714001996.05,0,0,67.0
1714001998.03,0,0,67.0
1714002000.05,0,0,54.5
1714002002.05,0,0,66.0
1714002004.06,0,0,60.0
1714002006.03,0,0,60.0
1714002008.05,0,0,66.0
1714002010.05,0,0,69.0
1714002012.05,0,0,62.0
1714002014.06,0,0,63.5
1714002016.03,0,0,63.5
1714002018.05,0,0,82.5
1714002020.05,0,0,69.5
1714002022.05,0,0,64.0
1714002024.06,0,0,82.0
1714002026.04,0,0,82.0
1714002028.05,0,0,62.0
1714002030.05,0,0,59.5
1714002032.05,0,0,66.5
1714002034.03,0,0,66.5
1714002036.05,0,0,70.0
1714002038.05,0,0,66.5
1714002040.05,0,0,66.5
1714002042.05,0,0,64.5
1714002044.03,0,0,64.5
1714002046.05,0,0,68.5
1714002048.05,0,0,64.0
1714002050.05,0,0,68.5
1714002052.05,0,0,64.0
1714002054.02,0,0,64.0
1714002056.05,0,0,85.0
1714002058.05,0,0,74.5
1714002060.05,0,0,74.0
1714002062.02,0,0,74.0
1714002064.05,0,0,72.0
1714002066.05,0,0,63.5
1714002068.05,0,0,75.5
1714002070.05,0,0,64.0
1714002072.02,0,0,64.0
1714002074.05,0,0,66.5
1714002076.05,0,0,67.5
1714002078.05,0,0,80.5
1714002080.05,0,0,69.0
1714002082.03,0,0,69.0
1714002084.05,0,0,63.0
1714002086.05,0,0,77.5
1714002088.05,0,0,68.0
1714002090.03,0,0,68.0
1714002092.05,0,0,79.5
1714002094.05,0,0,60.5
1714002096.05,0,0,66.0
1714002098.05,0,0,66.5
1714002100.03,0,0,66.5
1714002102.05,0,0,69.5
1714002104.05,0,0,67.0
1714002106.05,0,0,81.5
1714002108.03,0,0,81.5
1714002110.05,0,0,70.5
1714002112.05,0,0,74.5
1714002114.05,0,0,63.5
1714002116.05,0,0,68.0
1714002118.03,0,0,68.0
1714002120.05,0,0,58.0
1714002122.05,0,0,67.0
1714002124.05,0,0,72.0
1714002126.05,0,0,64.0
1714002128.04,0,0,64.0
1714002130.05,0,0,71.0
1714002132.05,0,0,65.5
1714002134.05,0,0,65.0
1714002136.03,0,0,65.0
1714002138.05,0,0,69.0
1714002140.05,0,0,68.5
1714002142.05,0,0,75.0
1714002144.05,0,0,61.0
1714002146.03,0,0,61.0
1714002148.05,0,0,69.0
1714002150.05,0,0,65.0
1714002152.05,0,0,78.0
1714002154.05,0,0,86.5
1714002156.02,0,0,86.5
1714002158.05,0,0,77.0
1714002160.05,0,0,66.0
1714002162.05,0,0,71.5
1714002164.04,0,0,71.5
1714002166.05,0,0,66.0
1714002168.05,0,0,74.0
1714002170.05,0,0,66.0
1714002172.05,0,0,79.5
1714002174.03,0,0,79.5
1714002176.05,0,0,63.5
1714002178.05,0,0,73.0
1714002180.05,0,0,69.0
1714002182.03,0,0,69.0
1714002184.05,0,0,63.0
1714002186.05,0,0,65.5
1714002188.05,0,0,73.0
1714002190.05,0,0,68.0
1714002192.04,0,0,68.0
1714002194.05,0,0,68.5
1714002196.05,0,0,55.0
1714002198.05,0,0,63.5
1714002200.05,0,0,71.0
1714002202.03,0,0,71.0
1714002204.05,0,0,75.5
1714002206.05,0,0,71.0
1714002208.05,0,0,62.0
1714002210.03,0,0,62.0
1714002212.05,0,0,56.5
1714002214.05,0,0,68.5
1714002216.05,0,0,74.5
1714002218.05,0,0,65.5
1714002220.02,0,0,65.5
1714002222.05,0,0,75.5
1714002224.05,0,0,75.5
1714002226.05,0,0,59.0
1714002228.05,0,0,65.5
1714002230.05,0,0,65.5
1714002232.05,0,0,62.0
1714002234.05,0,0,53.5
1714002236.05,0,0,73.5
1714002238.02,0,0,73.5
1714002240.05,0,0,66.5
1714002242.05,0,0,66.0
1714002244.05,0,0,72.5
1714002246.05,0,0,66.5
1714002248.02,0,0,66.5
1714002250.05,0,0,65.0
1714002252.05,0,0,69.0
1714002254.05,0,0,76.5
1714002256.05,0,0,62.0
1714002258.03,0,0,62.0
1714002260.05,0,0,66.5
1714002262.05,0,0,57.5
1714002264.05,0,0,57.5
1714002266.02,0,0,57.5
1714002268.05,0,0,68.5
1714002270.05,0,0,63.0
1714002272.05,0,0,66.5
1714002274.05,0,0,76.0
1714002276.03,0,0,76.0
1714002278.05,0,0,74.5
