Time,Latitude,Longitude,counts
1714001625.33,0,0,708.5
1714001627.36,0,0,94.0
1714001629.32,0,0,76.0
1714001631.3,0,0,76.0
1714001633.38,0,0,87.0
1714001635.32,0,0,87.0
1714001637.32,0,0,79.0
1714001639.31,0,0,79.0
1714001641.32,0,0,87.5
1714001643.33,0,0,91.0
1714001645.33,0,0,94.5
1714001647.33,0,0,79.0
1714001649.3,0,0,79.0
1714001651.32,0,0,92.5
1714001653.33,0,0,93.0
1714001655.32,0,0,77.0
1714001657.32,0,0,83.0
1714001659.31,0,0,83.0
1714001661.32,0,0,85.5
1714001663.32,0,0,91.5
1714001665.32,0,0,97.0
1714001667.3,0,0,97.0
1714001669.32,0,0,85.5
1714001671.33,0,0,84.5
1714001673.33,0,0,81.5
1714001675.33,0,0,85.0
1714001677.3,0,0,85.0
1714001679.32,0,0,77.0
1714001681.33,0,0,75.0
1714001683.33,0,0,85.5
1714001685.32,0,0,76.0
1714001687.31,0,0,76.0
1714001689.32,0,0,89.5
1714001691.32,0,0,79.0
1714001693.32,0,0,80.0
1714001695.3,0,0,80.0
1714001697.32,0,0,71.5
1714001699.32,0,0,96.5
1714001701.32,0,0,79.0
1714001703.32,0,0,90.0
1714001705.3,0,0,90.0
1714001707.33,0,0,79.5
1714001709.33,0,0,85.0
1714001711.33,0,0,88.0
1714001713.33,0,0,81.0
1714001715.3,0,0,81.0
1714001717.33,0,0,86.5
1714001719.32,0,0,94.0
1714001721.32,0,0,70.5
1714001723.32,0,0,70.5
1714001725.32,0,0,92.5
1714001727.32,0,0,77.0
1714001729.33,0,0,87.0
1714001731.33,0,0,95.5
1714001733.3,0,0,95.5
1714001735.33,0,0,94.5
1714001737.32,0,0,81.0
1714001739.32,0,0,87.0
1714001741.31,0,0,87.0
1714001743.33,0,0,91.0
1714001745.32,0,0,80.5
1714001747.34,0,0,86.5
1714001749.32,0,0,82.0
1714001751.33,0,0,82.0
1714001753.32,0,0,84.0
1714001755.32,0,0,82.0
1714001757.32,0,0,85.5
1714001759.33,0,0,90.0
1714001761.31,0,0,90.0
1714001763.33,0,0,85.0
1714001765.33,0,0,84.5
1714001767.33,0,0,101.0
1714001769.3,0,0,101.0
1714001771.32,0,0,78.0
1714001773.32,0,0,75.0
1714001775.32,0,0,83.0
1714001777.32,0,0,82.5
1714001779.3,0,0,82.5
1714001781.32,0,0,79.0
1714001783.32,0,0,79.5
1714001785.32,0,0,81.0
1714001787.3,0,0,81.0
1714001789.32,0,0,90.5
1714001791.32,0,0,69.5
1714001793.32,0,0,63.0
1714001795.32,0,0,89.0
1714001797.32,0,0,89.0
1714001799.32,0,0,87.0
1714001801.32,0,0,84.0
1714001803.32,0,0,71.5
1714001805.32,0,0,81.5
1714001807.3,0,0,81.5
1714001809.32,0,0,74.5
1714001811.32,0,0,79.0
1714001813.32,0,0,79.0
1714001815.3,0,0,79.0
1714001817.32,0,0,84.0
1714001819.32,0,0,83.5
1714001821.32,0,0,85.0
1714001823.32,0,0,84.5
1714001825.3,0,0,84.5
1714001827.32,0,0,85.5
1714001829.33,0,0,73.5
1714001831.32,0,0,89.0
1714001833.33,0,0,70.5
1714001835.3,0,0,70.5
1714001837.32,0,0,79.0
1714001839.32,0,0,82.5
1714001841.32,0,0,86.5
1714001843.3,0,0,86.5
1714001845.32,0,0,94.5
1714001847.32,0,0,93.0
1714001849.33,0,0,82.0
1714001851.32,0,0,78.5
1714001853.3,0,0,78.5
1714001855.32,0,0,78.5
1714001857.32,0,0,80.5
1714001859.32,0,0,71.5
1714001861.31,0,0,71.5
1714001863.33,0,0,88.0
1714001865.32,0,0,92.0
1714001867.32,0,0,91.0
1714001869.32,0,0,90.5
1714001871.31,0,0,90.5
1714001873.32,0,0,79.5
1714001875.32,0,0,72.5
1714001877.33,0,0,78.0
1714001879.32,0,0,88.0
1714001881.3,0,0,88.0
1714001883.33,0,0,92.5
1714001885.32,0,0,84.5
1714001887.32,0,0,78.0
1714001889.31,0,0,78.0
1714001891.32,0,0,81.5
1714001893.32,0,0,88.5
1714001895.32,0,0,78.0
1714001897.32,0,0,86.0
1714001899.3,0,0,86.0
1714001901.33,0,0,84.5
1714001903.33,0,0,95.0
1714001905.34,0,0,78.0
1714001907.33,0,0,94.0
1714001909.3,0,0,94.0
1714001911.32,0,0,83.0
1714001913.32,0,0,82.0
1714001915.32,0,0,87.0
1714001917.3,0,0,87.0
1714001919.32,0,0,85.5
1714001921.32,0,0,78.5
1714001923.32,0,0,89.0
1714001925.33,0,0,93.0
