Time,Counts,Total Counts
1714172147.6440375,4,4
1714172157.654304,1,5
1714172167.6644738,0,5
1714172177.674721,2,7
1714172187.6849813,2,9
1714172197.695251,1,10
1714172207.7055132,0,10
1714172217.7157788,3,13
1714172227.7259486,2,15
1714172237.7360933,2,17
1714172247.746236,3,20
1714172257.7563813,1,21
1714172267.7665236,3,24
1714172277.7766654,2,26
1714172287.7868075,2,28
1714172297.7963781,1,29
1714172307.806614,0,29
1714172317.816877,5,34
1714172327.8243666,2,36
1714172337.8345907,2,38
1714172347.8448029,2,40
1714172357.855039,0,40
1714172367.865311,0,40
1714172377.8755991,0,40
1714172387.8857763,1,41
1714172397.8960106,2,43
1714172407.9061863,1,44
1714172417.9163494,1,45
1714172427.9264958,3,48
1714172437.9366388,4,52
