Time,Latitude,Longitude,counts
1714172148.97,0,0,1379.9
1714172159.01,0,0,91.1
1714172168.97,0,0,95.5
1714172179.01,0,0,95.6
1714172189.03,0,0,96.5
1714172199.0,0,0,98.5
1714172209.0,0,0,94.6
1714172219.01,0,0,95.1
1714172228.97,0,0,91.4
1714172238.97,0,0,91.4
1714172248.97,0,0,96.2
1714172258.97,0,0,98.0
1714172268.97,0,0,94.6
1714172278.98,0,0,90.0
1714172288.98,0,0,96.0
1714172298.98,0,0,92.5
1714172308.97,0,0,98.2
1714172318.97,0,0,98.2
1714172328.97,0,0,97.5
1714172339.02,0,0,96.8
1714172348.97,0,0,93.1
1714172359.02,0,0,91.7
1714172369.02,0,0,93.3
1714172379.01,0,0,96.2
1714172388.97,0,0,96.8
1714172399.01,0,0,92.2
1714172408.97,0,0,93.9
1714172419.01,0,0,92.9
1714172428.97,0,0,95.0
1714172438.98,0,0,97.1
