Time,Counts,Total Counts
1714172677.3798268,1,1
1714172687.3901365,1,2
1714172697.400443,0,2
1714172707.4107008,2,4
1714172717.4209638,3,7
1714172727.431229,5,12
1714172737.4364693,0,12
1714172747.44674,1,13
1714172757.4569998,0,13
1714172767.4671757,1,14
1714172777.4773204,1,15
1714172787.4874613,3,18
1714172797.4976065,0,18
1714172807.5077496,1,19
1714172817.5178967,0,19
1714172827.5243955,0,19
1714172837.5346322,0,19
1714172847.5448909,1,20
1714172857.5551724,2,22
1714172867.5654366,1,23
1714172877.5756054,0,23
1714172887.585846,2,25
1714172897.5961041,1,26
1714172907.606365,0,26
1714172917.6166887,0,26
1714172927.6269517,0,26
1714172937.6371274,1,27
1714172947.64735,0,27
1714172957.6575198,1,28
1714172967.6676726,0,28
