Time,Latitude,Longitude,counts
1714172678.97,0,0,1179.8
1714172688.97,0,0,62.9
1714172699.01,0,0,60.1
1714172709.01,0,0,60.4
1714172719.01,0,0,64.4
1714172729.0,0,0,62.6
1714172739.02,0,0,64.4
1714172749.01,0,0,58.9
1714172759.01,0,0,66.0
1714172768.97,0,0,65.2
1714172778.97,0,0,60.4
1714172788.98,0,0,54.7
1714172798.98,0,0,62.5
1714172808.97,0,0,60.7
1714172818.97,0,0,63.3
1714172828.97,0,0,63.1
1714172838.97,0,0,61.6
1714172848.97,0,0,60.6
1714172858.95,0,0,60.6
1714172869.02,0,0,61.9
1714172878.97,0,0,61.1
1714172889.02,0,0,62.7
1714172899.02,0,0,60.6
1714172909.02,0,0,61.6
1714172919.02,0,0,62.2
1714172929.01,0,0,62.9
1714172938.97,0,0,62.3
1714172949.01,0,0,66.6
1714172958.98,0,0,61.2
1714172968.97,0,0,65.1
1714172978.97,0,0,61.2
