Time,Counts,Total Counts
1713997626.365519,0,0
1713997636.375681,0,0
1713997646.3858023,0,0
1713997656.3935266,2,2
1713997666.4014664,1,3
1713997676.409458,0,3
1713997686.419598,0,3
1713997696.4297376,0,3
1713997706.4398763,1,4
1713997716.4500175,0,4
1713997726.4601605,0,4
1713997736.4703045,1,5
1713997746.4804504,0,5
1713997756.4905865,0,5
1713997766.5007138,1,6
1713997776.5095663,0,6
1713997786.5197294,0,6
1713997796.522795,1,7
1713997806.5329373,0,7
1713997816.5430815,0,7
1713997826.5532284,0,7
1713997836.5614953,0,7
1713997846.57164,2,9
1713997856.5817845,1,10
1713997866.5894563,1,11
1713997876.5996013,0,11
1713997886.6097336,0,11
1713997896.6174443,1,12
1713997906.6275618,0,12
1713997916.6376944,0,12
