Time,Counts,Total Counts
1713998024.9039245,0,0
1713998034.914078,0,0
1713998044.9241962,0,0
1713998054.934313,0,0
1713998064.9422636,0,0
1713998074.9524086,2,2
1713998084.9625537,0,2
1713998094.9726937,0,2
1713998104.9828386,0,2
1713998114.9929798,0,2
1713998125.0031235,1,3
1713998135.013265,0,3
1713998145.023403,0,3
1713998155.033549,2,5
1713998165.0436954,0,5
1713998175.0538244,0,5
1713998185.0639493,2,7
1713998195.074065,0,7
1713998205.0842037,0,7
1713998215.0854635,1,8
1713998225.0955863,0,8
1713998235.1057339,0,8
1713998245.115872,1,9
1713998255.1254928,0,9
1713998265.135639,2,11
1713998275.1457746,1,12
1713998285.1559207,1,13
1713998295.163833,0,13
1713998305.1739554,1,14
1713998315.1843433,1,15
