Time,Counts,Total Counts
1713998375.9574704,2,2
1713998385.9607496,1,3
1713998395.9708943,0,3
1713998405.9810302,1,4
1713998415.9911685,0,4
1713998426.0013053,1,5
1713998436.0114665,2,7
1713998446.0215998,0,7
1713998456.03174,1,8
1713998466.0418804,0,8
1713998476.052018,0,8
1713998486.062166,0,8
1713998496.0722897,0,8
1713998506.0824091,1,9
1713998516.0894437,0,9
1713998526.0995772,0,9
1713998536.1097085,0,9
1713998546.119848,1,10
1713998556.1299925,0,10
1713998566.1401205,0,10
1713998576.1502619,0,10
1713998586.160401,0,10
1713998596.1705413,0,10
1713998606.1806836,0,10
1713998616.1908278,2,12
1713998626.1974642,1,13
1713998636.2075868,0,13
1713998646.2177062,0,13
1713998656.227844,1,14
1713998666.2379794,0,14
