Time,Latitude,Longitude,counts
1713998384.87,0,0,199.5
1713998386.88,0,0,56.5
1713998388.86,0,0,56.5
1713998390.87,0,0,51.5
1713998392.87,0,0,47.5
1713998394.87,0,0,48.5
1713998396.88,0,0,49.0
1713998398.86,0,0,49.0
1713998400.88,0,0,46.5
1713998402.88,0,0,49.5
1713998404.88,0,0,37.0
1713998406.87,0,0,41.0
1713998408.86,0,0,41.0
1713998410.87,0,0,45.0
1713998412.89,0,0,49.0
1713998414.87,0,0,51.0
1713998416.85,0,0,51.0
1713998418.87,0,0,51.0
1713998420.87,0,0,49.5
1713998422.89,0,0,50.0
1713998424.88,0,0,46.5
1713998426.86,0,0,46.5
1713998428.87,0,0,47.0
1713998430.87,0,0,46.5
1713998432.89,0,0,48.5
1713998434.85,0,0,48.5
1713998436.88,0,0,54.5
1713998438.87,0,0,54.0
1713998440.87,0,0,44.5
1713998442.89,0,0,45.5
1713998444.85,0,0,45.5
1713998446.87,0,0,60.0
1713998448.87,0,0,44.0
1713998450.87,0,0,52.0
1713998452.89,0,0,44.0
1713998454.86,0,0,44.0
1713998456.88,0,0,50.5
1713998458.87,0,0,54.5
1713998460.87,0,0,50.5
1713998462.86,0,0,50.5
1713998464.87,0,0,45.5
1713998466.87,0,0,51.5
1713998468.87,0,0,44.0
1713998470.87,0,0,48.0
1713998472.86,0,0,48.0
1713998474.88,0,0,43.5
1713998476.87,0,0,55.5
1713998478.87,0,0,45.5
1713998480.87,0,0,49.0
1713998482.85,0,0,49.0
1713998484.88,0,0,47.0
1713998486.88,0,0,47.5
1713998488.87,0,0,60.5
1713998490.85,0,0,60.5
1713998492.88,0,0,54.5
1713998494.87,0,0,51.0
1713998496.87,0,0,44.0
1713998498.87,0,0,42.0
1713998500.85,0,0,42.0
1713998502.87,0,0,56.5
1713998504.87,0,0,52.0
1713998506.87,0,0,48.0
1713998508.88,0,0,54.0
1713998510.85,0,0,54.0
1713998512.87,0,0,49.5
1713998514.88,0,0,55.0
1713998516.88,0,0,47.0
1713998518.85,0,0,47.0
1713998520.87,0,0,49.0
1713998522.87,0,0,46.5
1713998524.87,0,0,48.5
1713998526.87,0,0,47.0
1713998528.85,0,0,47.0
1713998530.87,0,0,52.0
1713998532.88,0,0,49.0
1713998534.88,0,0,66.5
1713998536.85,0,0,66.5
1713998538.87,0,0,54.5
1713998540.87,0,0,54.0
1713998542.87,0,0,42.0
1713998544.88,0,0,39.5
1713998546.85,0,0,39.5
1713998548.87,0,0,38.5
1713998550.88,0,0,43.5
1713998552.87,0,0,43.0
1713998554.87,0,0,50.5
1713998556.88,0,0,50.5
1713998558.87,0,0,49.5
1713998560.87,0,0,45.5
1713998562.87,0,0,52.0
1713998564.86,0,0,52.0
1713998566.87,0,0,44.5
1713998568.87,0,0,41.5
1713998570.87,0,0,46.5
1713998572.87,0,0,58.5
1713998574.85,0,0,58.5
1713998576.87,0,0,45.0
1713998578.87,0,0,46.0
1713998580.87,0,0,47.5
1713998582.86,0,0,47.5
1713998584.88,0,0,49.0
1713998586.87,0,0,57.0
1713998588.87,0,0,54.0
1713998590.87,0,0,50.0
1713998592.86,0,0,50.0
1713998594.87,0,0,50.0
1713998596.87,0,0,47.0
1713998598.87,0,0,47.0
1713998600.87,0,0,60.5
1713998602.86,0,0,60.5
1713998604.88,0,0,51.0
1713998606.87,0,0,49.0
1713998608.88,0,0,50.0
1713998610.85,0,0,50.0
1713998612.87,0,0,49.0
1713998614.88,0,0,44.5
1713998616.87,0,0,44.0
1713998618.87,0,0,46.5
1713998620.85,0,0,46.5
1713998622.88,0,0,49.5
1713998624.87,0,0,51.5
1713998626.88,0,0,55.5
1713998628.88,0,0,50.5
1713998630.85,0,0,50.5
1713998632.87,0,0,45.0
1713998634.87,0,0,53.5
1713998636.88,0,0,58.0
1713998638.85,0,0,58.0
1713998640.88,0,0,47.0
1713998642.88,0,0,53.0
1713998644.88,0,0,48.5
1713998646.88,0,0,45.0
1713998648.85,0,0,45.0
1713998650.87,0,0,46.5
1713998652.88,0,0,58.0
1713998654.87,0,0,50.5
1713998656.87,0,0,42.0
1713998658.85,0,0,42.0
1713998660.87,0,0,47.0
1713998662.87,0,0,52.5
1713998664.87,0,0,49.5
1713998666.85,0,0,49.5
1713998668.87,0,0,54.5
1713998670.87,0,0,48.0
1713998672.87,0,0,49.5
1713998674.87,0,0,47.5
1713998676.85,0,0,47.5
1713998678.87,0,0,44.0
1713998680.87,0,0,47.5
1713998682.87,0,0,48.5
1713998684.85,0,0,48.5
1713998686.87,0,0,53.5
1713998688.87,0,0,41.5
