Time,Latitude,Longitude,counts
1713998018.32,0,0,1216.5
1713998020.32,0,0,44.0
1713998022.33,0,0,49.5
1713998024.3,0,0,49.5
1713998026.32,0,0,50.5
1713998028.32,0,0,45.5
1713998030.32,0,0,59.5
1713998032.3,0,0,59.5
1713998034.32,0,0,44.5
1713998036.32,0,0,48.0
1713998038.32,0,0,52.0
1713998040.32,0,0,57.0
1713998042.33,0,0,57.0
1713998044.32,0,0,50.5
1713998046.32,0,0,52.5
1713998048.32,0,0,43.5
1713998050.32,0,0,50.5
1713998052.3,0,0,50.5
1713998054.32,0,0,43.0
1713998056.33,0,0,58.5
1713998058.32,0,0,53.0
1713998060.3,0,0,53.0
1713998062.32,0,0,53.5
1713998064.32,0,0,49.5
1713998066.32,0,0,50.0
1713998068.32,0,0,47.0
1713998070.3,0,0,47.0
1713998072.32,0,0,50.0
1713998074.32,0,0,51.5
1713998076.32,0,0,57.0
1713998078.3,0,0,57.0
1713998080.32,0,0,54.0
1713998082.32,0,0,61.0
1713998084.32,0,0,55.5
1713998086.33,0,0,47.5
1713998088.3,0,0,47.5
1713998090.32,0,0,54.5
1713998092.32,0,0,62.0
1713998094.32,0,0,58.5
1713998096.33,0,0,45.0
1713998098.33,0,0,45.0
1713998100.33,0,0,48.0
1713998102.32,0,0,49.0
1713998104.32,0,0,53.0
1713998106.31,0,0,53.0
1713998108.32,0,0,44.5
1713998110.32,0,0,55.0
1713998112.32,0,0,60.5
1713998114.33,0,0,46.5
1713998116.32,0,0,46.5
1713998118.32,0,0,55.0
1713998120.33,0,0,47.0
1713998122.32,0,0,51.0
1713998124.32,0,0,49.5
1713998126.32,0,0,49.5
1713998128.32,0,0,47.0
1713998130.32,0,0,48.0
1713998132.33,0,0,46.5
1713998134.3,0,0,46.5
1713998136.33,0,0,49.0
1713998138.32,0,0,50.0
1713998140.32,0,0,41.0
1713998142.33,0,0,46.0
1713998144.3,0,0,46.0
1713998146.34,0,0,43.5
1713998148.32,0,0,48.5
1713998150.32,0,0,52.5
1713998152.32,0,0,51.5
1713998154.3,0,0,51.5
1713998156.32,0,0,47.5
1713998158.32,0,0,45.5
1713998160.32,0,0,51.0
1713998162.31,0,0,51.0
1713998164.32,0,0,51.5
1713998166.32,0,0,50.0
1713998168.32,0,0,51.5
1713998170.32,0,0,50.0
1713998172.31,0,0,50.0
1713998174.32,0,0,54.0
1713998176.32,0,0,47.5
1713998178.32,0,0,61.0
1713998180.33,0,0,44.0
1713998182.3,0,0,44.0
1713998184.33,0,0,46.0
1713998186.32,0,0,48.5
1713998188.32,0,0,61.5
1713998190.33,0,0,61.5
1713998192.32,0,0,39.5
1713998194.32,0,0,46.0
1713998196.32,0,0,52.5
1713998198.32,0,0,54.0
1713998200.31,0,0,54.0
1713998202.32,0,0,57.0
1713998204.32,0,0,48.0
1713998206.32,0,0,58.0
1713998208.3,0,0,58.0
1713998210.32,0,0,52.0
1713998212.32,0,0,47.0
1713998214.32,0,0,52.0
1713998216.32,0,0,51.0
1713998218.3,0,0,51.0
1713998220.32,0,0,54.5
1713998222.32,0,0,56.0
1713998224.32,0,0,47.0
1713998226.32,0,0,47.0
1713998228.3,0,0,47.0
1713998230.33,0,0,49.5
1713998232.33,0,0,49.5
1713998234.32,0,0,56.5
1713998236.3,0,0,56.5
1713998238.32,0,0,41.5
1713998240.32,0,0,51.0
1713998242.32,0,0,56.0
1713998244.32,0,0,55.0
1713998246.3,0,0,55.0
1713998248.32,0,0,51.5
1713998250.32,0,0,50.0
1713998252.33,0,0,47.0
1713998254.32,0,0,61.0
1713998256.3,0,0,61.0
1713998258.32,0,0,53.5
1713998260.32,0,0,48.5
1713998262.32,0,0,44.5
1713998264.3,0,0,44.5
1713998266.32,0,0,47.0
1713998268.32,0,0,41.0
1713998270.32,0,0,51.0
1713998272.32,0,0,46.5
1713998274.3,0,0,46.5
1713998276.33,0,0,53.0
1713998278.32,0,0,42.5
1713998280.32,0,0,50.0
1713998282.33,0,0,60.0
1713998284.3,0,0,60.0
1713998286.33,0,0,51.5
1713998288.33,0,0,46.5
1713998290.32,0,0,51.0
1713998292.31,0,0,51.0
1713998294.33,0,0,49.5
1713998296.32,0,0,43.0
1713998298.32,0,0,50.0
1713998300.32,0,0,48.0
1713998302.31,0,0,48.0
1713998304.32,0,0,43.5
1713998306.32,0,0,49.5
1713998308.32,0,0,52.5
1713998310.3,0,0,52.5
1713998312.32,0,0,40.5
1713998314.32,0,0,54.0
1713998316.32,0,0,48.5
1713998318.35,0,0,51.0
