Time,Latitude,Longitude,counts
1714175958.01,0,0,2589.3
1714175968.01,0,0,383.3
1714175977.97,0,0,371.8
1714175988.01,0,0,371.6
1714175997.97,0,0,366.0
1714176008.01,0,0,382.5
1714176018.02,0,0,372.5
1714176028.01,0,0,380.4
1714176038.01,0,0,378.6
1714176048.0,0,0,369.5
1714176057.97,0,0,373.5
1714176067.98,0,0,378.2
1714176077.97,0,0,365.3
1714176087.97,0,0,376.5
1714176097.98,0,0,371.6
1714176107.98,0,0,379.5
1714176117.98,0,0,376.9
1714176127.98,0,0,379.0
1714176137.95,0,0,379.0
1714176148.02,0,0,374.9
1714176158.02,0,0,378.0
1714176168.01,0,0,370.2
1714176177.97,0,0,370.9
1714176187.97,0,0,380.0
1714176198.02,0,0,369.6
1714176208.02,0,0,367.6
1714176218.01,0,0,383.4
1714176228.02,0,0,380.2
1714176237.97,0,0,381.0
1714176247.97,0,0,371.6
1714176257.97,0,0,372.2
