Time,Counts,Total Counts
1714176936.2216806,1,1
1714176946.2256932,1,2
1714176956.235884,1,3
1714176966.2460282,2,5
1714176976.2561743,1,6
1714176986.2663193,0,6
1714176996.276462,1,7
1714177006.2865863,1,8
1714177016.2967265,2,10
1714177026.3068724,1,11
1714177036.317105,2,13
1714177046.327332,0,13
1714177056.337583,1,14
1714177066.347753,0,14
1714177076.35799,3,17
1714177086.3682494,1,18
1714177096.378629,2,20
1714177106.38888,1,21
1714177116.3990448,2,23
1714177126.4091678,2,25
1714177136.419407,1,26
1714177146.4295766,1,27
1714177156.4397225,4,31
1714177166.449865,2,33
1714177176.4600084,1,34
1714177186.4701502,2,36
1714177196.476387,2,38
1714177206.4865246,1,39
1714177216.4966867,2,41
1714177226.5069196,4,45
