Time,Counts,Total Counts
1713999407.1054862,2,2
1713999417.1156478,2,4
1713999427.125789,2,6
1713999437.1334615,1,7
1713999447.1436136,3,10
1713999457.1534395,0,10
1713999467.1635633,2,12
1713999477.1736991,1,13
1713999487.1838384,2,15
1713999497.1939814,4,19
1713999507.204123,1,20
1713999517.214268,0,20
1713999527.2214851,1,21
1713999537.2316349,0,21
1713999547.241778,4,25
1713999557.251919,0,25
1713999567.2620652,1,26
1713999577.2694595,0,26
1713999587.2795937,0,26
1713999597.2897089,0,26
1713999607.2998452,2,28
1713999617.3099902,0,28
1713999627.320139,0,28
1713999637.3302872,2,30
1713999647.3404372,0,30
1713999657.35058,1,31
1713999667.36076,1,32
1713999677.3709033,1,33
1713999687.3810482,0,33
1713999697.3911877,0,33
