Time,Latitude,Longitude,counts
1713999402.57,0,0,1809.5
1713999404.57,0,0,100.5
1713999406.57,0,0,117.0
1713999408.55,0,0,117.0
1713999410.58,0,0,103.0
1713999412.57,0,0,114.5
1713999414.57,0,0,109.0
1713999416.55,0,0,109.0
1713999418.58,0,0,106.5
1713999420.58,0,0,99.5
1713999422.57,0,0,128.0
1713999424.57,0,0,103.5
1713999426.55,0,0,103.5
1713999428.57,0,0,103.5
1713999430.59,0,0,107.5
1713999432.57,0,0,108.0
1713999434.57,0,0,108.5
1713999436.55,0,0,108.5
1713999438.57,0,0,111.5
1713999440.58,0,0,104.0
1713999442.57,0,0,121.5
1713999444.55,0,0,121.5
1713999446.57,0,0,104.0
1713999448.57,0,0,106.0
1713999450.59,0,0,100.0
1713999452.57,0,0,116.0
1713999454.56,0,0,116.0
1713999456.57,0,0,103.0
1713999458.57,0,0,112.0
1713999460.6,0,0,96.0
1713999462.58,0,0,108.5
1713999464.56,0,0,108.5
1713999466.57,0,0,116.0
1713999468.57,0,0,105.5
1713999470.58,0,0,99.0
1713999472.55,0,0,99.0
1713999474.57,0,0,98.0
1713999476.57,0,0,111.0
1713999478.57,0,0,104.5
1713999480.58,0,0,103.5
1713999482.56,0,0,103.5
1713999484.58,0,0,108.5
1713999486.57,0,0,98.5
1713999488.57,0,0,98.5
1713999490.56,0,0,98.5
1713999492.57,0,0,115.0
1713999494.58,0,0,105.5
1713999496.58,0,0,100.0
1713999498.57,0,0,107.0
1713999500.57,0,0,107.0
1713999502.57,0,0,114.5
1713999504.57,0,0,115.5
1713999506.57,0,0,96.0
1713999508.57,0,0,107.0
1713999510.55,0,0,107.0
1713999512.57,0,0,117.0
1713999514.58,0,0,112.5
1713999516.58,0,0,118.5
1713999518.55,0,0,118.5
1713999520.57,0,0,116.5
1713999522.57,0,0,114.0
1713999524.58,0,0,98.0
1713999526.57,0,0,116.0
1713999528.55,0,0,116.0
1713999530.57,0,0,109.0
1713999532.58,0,0,95.5
1713999534.57,0,0,95.0
1713999536.57,0,0,115.0
1713999538.55,0,0,115.0
1713999540.57,0,0,106.5
1713999542.58,0,0,107.0
1713999544.57,0,0,105.0
1713999546.55,0,0,105.0
1713999548.57,0,0,106.5
1713999550.57,0,0,116.5
1713999552.57,0,0,98.0
1713999554.57,0,0,98.5
1713999556.55,0,0,98.5
1713999558.57,0,0,103.0
1713999560.57,0,0,103.0
1713999562.57,0,0,106.0
1713999564.57,0,0,116.0
1713999566.56,0,0,116.0
1713999568.57,0,0,110.0
1713999570.57,0,0,110.5
1713999572.57,0,0,103.0
1713999574.55,0,0,103.0
1713999576.57,0,0,110.5
1713999578.57,0,0,103.0
1713999580.57,0,0,99.0
1713999582.58,0,0,108.5
1713999584.56,0,0,108.5
1713999586.57,0,0,110.0
1713999588.57,0,0,105.5
1713999590.57,0,0,105.5
1713999592.56,0,0,105.5
1713999594.57,0,0,95.5
1713999596.57,0,0,108.0
1713999598.57,0,0,109.5
1713999600.57,0,0,102.0
1713999602.56,0,0,102.0
1713999604.57,0,0,101.0
1713999606.57,0,0,105.5
1713999608.57,0,0,111.5
1713999610.57,0,0,110.0
1713999612.56,0,0,110.0
1713999614.57,0,0,109.5
1713999616.57,0,0,113.0
1713999618.57,0,0,118.0
1713999620.55,0,0,118.0
1713999622.57,0,0,113.0
1713999624.58,0,0,112.5
1713999626.57,0,0,109.0
1713999628.57,0,0,110.0
1713999630.55,0,0,110.0
1713999632.57,0,0,103.5
1713999634.57,0,0,106.0
1713999636.57,0,0,101.5
1713999638.57,0,0,100.5
1713999640.56,0,0,100.5
1713999642.57,0,0,118.5
1713999644.58,0,0,100.5
1713999646.58,0,0,113.5
1713999648.56,0,0,113.5
1713999650.58,0,0,98.0
1713999652.57,0,0,98.0
1713999654.57,0,0,106.5
1713999656.57,0,0,113.5
1713999658.55,0,0,113.5
1713999660.57,0,0,84.0
1713999662.57,0,0,111.0
1713999664.58,0,0,99.0
1713999666.55,0,0,99.0
1713999668.59,0,0,109.0
1713999670.57,0,0,98.0
1713999672.57,0,0,115.0
1713999674.57,0,0,111.0
1713999676.55,0,0,111.0
1713999678.58,0,0,112.5
1713999680.57,0,0,103.5
1713999682.58,0,0,113.0
1713999684.57,0,0,103.0
1713999686.56,0,0,103.0
1713999688.57,0,0,111.0
1713999690.57,0,0,100.0
1713999692.57,0,0,101.5
1713999694.55,0,0,101.5
1713999696.57,0,0,92.5
1713999698.58,0,0,109.0
1713999700.58,0,0,107.5
