Time,Counts,Total Counts
1713999017.7164376,3,3
1713999027.7266042,2,5
1713999037.7367527,3,8
1713999047.7454836,1,9
1713999057.753442,1,10
1713999067.763563,3,13
1713999077.773745,2,15
1713999087.7838867,1,16
1713999097.7940328,3,19
1713999107.8041775,3,22
1713999117.8143234,1,23
1713999127.8244703,3,26
1713999137.834615,0,26
1713999147.8447511,0,26
1713999157.854893,2,28
1713999167.8650386,2,30
1713999177.8751903,2,32
1713999187.8853192,3,35
1713999197.8954687,1,36
1713999207.9055977,2,38
1713999217.9157484,3,41
1713999227.9258876,0,41
1713999237.9360337,3,44
1713999247.946176,2,46
1713999257.956322,1,47
1713999267.96646,2,49
1713999277.9766052,5,54
1713999287.9867456,4,58
1713999297.996889,2,60
1713999308.007029,6,66
