Time,Latitude,Longitude,counts
1713999013.32,0,0,3719.5
1713999015.34,0,0,125.0
1713999017.33,0,0,106.0
1713999019.31,0,0,106.0
1713999021.32,0,0,120.5
1713999023.33,0,0,120.5
1713999025.33,0,0,120.5
1713999027.3,0,0,120.5
1713999029.33,0,0,115.0
1713999031.32,0,0,108.0
1713999033.35,0,0,126.0
1713999035.32,0,0,125.0
1713999037.3,0,0,125.0
1713999039.32,0,0,110.5
1713999041.32,0,0,116.0
1713999043.32,0,0,115.0
1713999045.32,0,0,106.0
1713999047.3,0,0,106.0
1713999049.32,0,0,118.0
1713999051.32,0,0,115.0
1713999053.32,0,0,124.0
1713999055.3,0,0,124.0
1713999057.32,0,0,122.0
1713999059.32,0,0,116.5
1713999061.33,0,0,113.5
1713999063.32,0,0,110.5
1713999065.3,0,0,110.5
1713999067.32,0,0,128.5
1713999069.32,0,0,126.0
1713999071.32,0,0,113.5
1713999073.3,0,0,113.5
1713999075.32,0,0,115.5
1713999077.32,0,0,126.5
1713999079.32,0,0,126.0
1713999081.32,0,0,103.5
1713999083.31,0,0,103.5
1713999085.32,0,0,118.5
1713999087.33,0,0,114.0
1713999089.32,0,0,114.5
1713999091.32,0,0,128.5
1713999093.3,0,0,128.5
1713999095.32,0,0,112.0
1713999097.32,0,0,121.0
1713999099.33,0,0,120.5
1713999101.3,0,0,120.5
1713999103.32,0,0,123.5
1713999105.32,0,0,115.0
1713999107.32,0,0,117.0
1713999109.32,0,0,126.0
1713999111.31,0,0,126.0
1713999113.32,0,0,110.5
1713999115.32,0,0,117.0
1713999117.32,0,0,110.0
1713999119.32,0,0,117.5
1713999121.32,0,0,117.5
1713999123.32,0,0,115.0
1713999125.32,0,0,119.0
1713999127.32,0,0,100.5
1713999129.3,0,0,100.5
1713999131.33,0,0,113.0
1713999133.32,0,0,124.0
1713999135.32,0,0,116.0
1713999137.32,0,0,106.5
1713999139.3,0,0,106.5
1713999141.35,0,0,113.5
1713999143.32,0,0,115.5
1713999145.32,0,0,120.5
1713999147.32,0,0,118.5
1713999149.3,0,0,118.5
1713999151.34,0,0,116.5
1713999153.32,0,0,111.5
1713999155.32,0,0,105.5
1713999157.3,0,0,105.5
1713999159.32,0,0,106.5
1713999161.34,0,0,106.5
1713999163.32,0,0,118.5
1713999165.32,0,0,125.5
1713999167.3,0,0,125.5
1713999169.32,0,0,118.0
1713999171.35,0,0,108.5
1713999173.32,0,0,108.0
1713999175.32,0,0,122.5
1713999177.3,0,0,122.5
1713999179.32,0,0,123.5
1713999181.33,0,0,129.0
1713999183.32,0,0,119.5
1713999185.3,0,0,119.5
1713999187.33,0,0,130.0
1713999189.32,0,0,113.5
1713999191.33,0,0,121.0
1713999193.32,0,0,127.0
1713999195.3,0,0,127.0
1713999197.33,0,0,116.0
1713999199.32,0,0,117.0
1713999201.33,0,0,104.0
1713999203.3,0,0,104.0
1713999205.33,0,0,114.5
1713999207.33,0,0,116.5
1713999209.32,0,0,115.0
1713999211.32,0,0,125.5
1713999213.3,0,0,125.5
1713999215.32,0,0,117.0
1713999217.32,0,0,114.5
1713999219.32,0,0,117.5
1713999221.32,0,0,117.0
1713999223.31,0,0,117.0
1713999225.32,0,0,124.0
1713999227.33,0,0,116.0
1713999229.33,0,0,122.5
1713999231.33,0,0,125.0
1713999233.3,0,0,125.0
1713999235.32,0,0,125.0
1713999237.32,0,0,114.5
1713999239.33,0,0,115.0
1713999241.32,0,0,115.0
1713999243.32,0,0,123.0
1713999245.32,0,0,118.5
1713999247.32,0,0,124.0
1713999249.32,0,0,103.5
1713999251.3,0,0,103.5
1713999253.32,0,0,122.5
1713999255.32,0,0,122.0
1713999257.32,0,0,111.0
1713999259.33,0,0,111.0
1713999261.32,0,0,123.5
1713999263.32,0,0,115.0
1713999265.32,0,0,125.0
1713999267.33,0,0,111.5
1713999269.32,0,0,111.5
1713999271.33,0,0,108.0
1713999273.32,0,0,122.0
1713999275.32,0,0,115.5
1713999277.33,0,0,113.0
1713999279.32,0,0,113.0
1713999281.32,0,0,112.5
1713999283.32,0,0,119.0
1713999285.32,0,0,106.0
1713999287.3,0,0,106.0
1713999289.32,0,0,123.0
1713999291.32,0,0,120.0
1713999293.33,0,0,119.5
1713999295.33,0,0,129.5
1713999297.31,0,0,129.5
1713999299.33,0,0,114.5
1713999301.33,0,0,113.5
1713999303.33,0,0,124.0
1713999305.33,0,0,105.0
1713999307.3,0,0,105.0
1713999309.32,0,0,121.5
1713999311.33,0,0,115.0
1713999313.32,0,0,107.0
1713999315.31,0,0,107.0
1713999317.32,0,0,115.5
1713999319.32,0,0,131.5
1713999321.32,0,0,127.5
1713999323.32,0,0,124.0
1713999325.31,0,0,124.0
1713999327.32,0,0,113.0
1713999329.32,0,0,136.0
1713999331.32,0,0,118.0
1713999333.32,0,0,120.0
