Time,Counts,Total Counts
1713999754.5534658,0,0
1713999764.5636146,0,0
1713999774.5737417,2,2
1713999784.5838563,0,2
1713999794.593993,0,2
1713999804.6041353,3,5
1713999814.6142776,0,5
1713999824.624417,2,7
1713999834.6345646,0,7
1713999844.6447153,2,9
1713999854.654906,0,9
1713999864.6650493,3,12
1713999874.675186,0,12
1713999884.6853294,0,12
1713999894.6935115,0,12
1713999904.7014382,1,13
1713999914.7095125,0,13
1713999924.7196646,0,13
1713999934.729813,1,14
1713999944.739961,1,15
1713999954.7501004,0,15
1713999964.760246,0,15
1713999974.77039,1,16
1713999984.780535,1,17
1713999994.7906754,1,18
1714000004.8008575,1,19
1714000014.810998,1,20
1714000024.8211477,1,21
1714000034.8312793,0,21
1714000044.841417,1,22
