Time,Counts,Total Counts
1714000097.8294477,1,1
1714000107.8374374,0,1
1714000117.8454576,0,1
1714000127.8556037,1,2
1714000137.8654206,1,3
1714000147.8755565,0,3
1714000157.8857076,0,3
1714000167.8958502,1,4
1714000177.9059947,0,4
1714000187.9161406,0,4
1714000197.9215078,0,4
1714000207.929458,1,5
1714000217.937478,1,6
1714000227.9454358,1,7
1714000237.9534433,1,8
1714000247.9635806,0,8
1714000257.973724,0,8
1714000267.9838698,2,10
1714000277.9934645,2,12
1714000287.997459,1,13
1714000298.0054576,2,15
1714000308.0094569,0,15
1714000318.013459,0,15
1714000328.019827,0,15
1714000338.0299747,0,15
1714000348.040119,1,16
1714000358.0502646,0,16
1714000368.0603921,1,17
1714000378.069436,0,17
1714000388.0734408,0,17
