Time,Latitude,Longitude,counts
1714000091.48,0,0,839.5
1714000093.47,0,0,45.5
1714000095.45,0,0,45.5
1714000097.47,0,0,52.5
1714000099.47,0,0,61.5
1714000101.47,0,0,60.5
1714000103.47,0,0,58.5
1714000105.45,0,0,58.5
1714000107.47,0,0,63.5
1714000109.47,0,0,54.0
1714000111.47,0,0,52.0
1714000113.47,0,0,57.5
1714000115.45,0,0,57.5
1714000117.47,0,0,56.0
1714000119.47,0,0,56.0
1714000121.48,0,0,62.0
1714000123.46,0,0,62.0
1714000125.48,0,0,54.0
1714000127.48,0,0,56.5
1714000129.48,0,0,61.0
1714000131.47,0,0,51.0
1714000133.45,0,0,51.0
1714000135.47,0,0,59.5
1714000137.47,0,0,57.0
1714000139.49,0,0,59.5
1714000141.48,0,0,60.0
1714000143.45,0,0,60.0
1714000145.47,0,0,54.0
1714000147.47,0,0,52.5
1714000149.49,0,0,48.5
1714000151.48,0,0,48.5
1714000153.47,0,0,51.5
1714000155.47,0,0,54.0
1714000157.47,0,0,57.5
1714000159.49,0,0,66.0
1714000161.45,0,0,66.0
1714000163.47,0,0,61.5
1714000165.47,0,0,52.0
1714000167.47,0,0,57.5
1714000169.45,0,0,57.5
1714000171.47,0,0,63.0
1714000173.47,0,0,61.5
1714000175.48,0,0,54.0
1714000177.47,0,0,57.0
1714000179.47,0,0,57.0
1714000181.47,0,0,57.0
1714000183.47,0,0,47.0
1714000185.48,0,0,43.5
1714000187.48,0,0,56.0
1714000189.45,0,0,56.0
1714000191.47,0,0,56.0
1714000193.47,0,0,56.5
1714000195.47,0,0,56.0
1714000197.46,0,0,56.0
1714000199.47,0,0,55.5
1714000201.47,0,0,53.5
1714000203.47,0,0,63.5
1714000205.47,0,0,56.0
1714000207.45,0,0,56.0
1714000209.47,0,0,59.5
1714000211.47,0,0,53.0
1714000213.47,0,0,54.5
1714000215.48,0,0,66.5
1714000217.45,0,0,66.5
1714000219.47,0,0,54.0
1714000221.47,0,0,49.0
1714000223.47,0,0,56.0
1714000225.48,0,0,56.0
1714000227.48,0,0,61.5
1714000229.49,0,0,44.5
1714000231.48,0,0,64.0
1714000233.47,0,0,47.0
1714000235.45,0,0,47.0
1714000237.47,0,0,60.0
1714000239.47,0,0,61.5
1714000241.47,0,0,58.5
1714000243.48,0,0,52.5
1714000245.45,0,0,52.5
1714000247.47,0,0,56.0
1714000249.47,0,0,72.5
1714000251.47,0,0,54.0
1714000253.45,0,0,54.0
1714000255.47,0,0,63.5
1714000257.47,0,0,52.5
1714000259.47,0,0,51.5
1714000261.47,0,0,52.0
1714000263.45,0,0,52.0
1714000265.47,0,0,59.5
1714000267.47,0,0,59.5
1714000269.47,0,0,59.5
1714000271.45,0,0,59.5
1714000273.48,0,0,60.5
1714000275.48,0,0,53.0
1714000277.48,0,0,51.5
1714000279.47,0,0,54.5
1714000281.46,0,0,54.5
1714000283.48,0,0,58.5
1714000285.47,0,0,51.0
1714000287.47,0,0,51.0
1714000289.49,0,0,62.0
1714000291.46,0,0,62.0
1714000293.49,0,0,62.0
1714000295.47,0,0,65.0
1714000297.47,0,0,58.5
1714000299.47,0,0,51.5
1714000301.45,0,0,51.5
1714000303.47,0,0,56.0
1714000305.47,0,0,72.0
1714000307.47,0,0,58.5
1714000309.45,0,0,58.5
1714000311.48,0,0,58.0
1714000313.48,0,0,50.0
1714000315.48,0,0,52.5
1714000317.47,0,0,54.0
1714000319.48,0,0,54.0
1714000321.47,0,0,50.0
1714000323.47,0,0,61.5
1714000325.47,0,0,58.0
1714000327.46,0,0,58.0
1714000329.47,0,0,60.5
1714000331.47,0,0,58.5
1714000333.47,0,0,63.5
1714000335.48,0,0,56.0
1714000337.45,0,0,56.0
1714000339.47,0,0,55.0
1714000341.47,0,0,52.0
1714000343.47,0,0,71.5
1714000345.47,0,0,55.0
1714000347.46,0,0,55.0
1714000349.49,0,0,63.0
1714000351.47,0,0,57.5
1714000353.47,0,0,58.5
1714000355.45,0,0,58.5
1714000357.47,0,0,53.5
1714000359.47,0,0,59.5
1714000361.48,0,0,66.0
1714000363.48,0,0,58.0
1714000365.45,0,0,58.0
1714000367.48,0,0,64.0
1714000369.48,0,0,60.0
1714000371.48,0,0,53.5
1714000373.47,0,0,49.5
1714000375.46,0,0,49.5
1714000377.47,0,0,53.5
1714000379.47,0,0,64.0
1714000381.47,0,0,62.0
1714000383.45,0,0,62.0
1714000385.48,0,0,64.0
1714000387.47,0,0,56.0
1714000389.47,0,0,65.5
1714000391.47,0,0,56.5
1714000393.45,0,0,56.5
1714000395.47,0,0,56.0
1714000397.49,0,0,51.5
