Time,Counts,Total Counts
1714174183.710514,2,2
1714174193.7190604,1,3
1714174203.7293282,1,4
1714174213.736493,0,4
1714174223.746764,0,4
1714174233.756482,1,5
1714174243.7667525,1,6
1714174253.7724764,0,6
1714174263.7763681,2,8
1714174273.780365,0,8
1714174283.7843635,0,8
1714174293.7945073,0,8
1714174303.8003633,0,8
1714174313.810508,0,8
1714174323.8206549,0,8
1714174333.8244178,3,11
1714174343.8283646,0,11
1714174353.8386006,0,11
1714174363.8488657,1,12
1714174373.859135,1,13
1714174383.8605056,1,14
1714174393.8707633,0,14
1714174403.880468,0,14
1714174413.8883932,2,16
1714174423.8986127,0,16
1714174433.900474,1,17
1714174443.9107409,0,17
1714174453.9163678,0,17
1714174463.9265132,0,17
1714174473.9323673,0,17
