Time,Latitude,Longitude,counts
1714174185.02,0,0,863.3
1714174195.01,0,0,49.8
1714174205.01,0,0,49.3
1714174215.0,0,0,54.4
1714174225.01,0,0,52.0
1714174235.01,0,0,52.8
1714174245.0,0,0,48.9
1714174255.01,0,0,47.2
1714174264.97,0,0,49.0
1714174274.97,0,0,48.4
1714174284.97,0,0,47.2
1714174294.97,0,0,45.2
1714174304.97,0,0,50.0
1714174314.97,0,0,50.2
1714174324.97,0,0,46.7
1714174334.98,0,0,47.6
1714174344.97,0,0,50.9
1714174354.95,0,0,50.9
1714174365.01,0,0,50.3
1714174375.02,0,0,47.8
1714174385.01,0,0,49.8
1714174395.02,0,0,47.4
1714174405.01,0,0,51.1
1714174414.98,0,0,50.2
1714174425.01,0,0,48.0
1714174435.01,0,0,50.3
1714174445.01,0,0,53.4
1714174454.97,0,0,55.7
1714174464.97,0,0,47.2
1714174474.98,0,0,48.7
1714174484.97,0,0,49.1
