Time,Counts,Total Counts
1714173685.1269412,1,1
1714173695.137243,1,2
1714173705.1475039,0,2
1714173715.1577685,1,3
1714173725.168028,1,4
1714173735.1782906,1,5
1714173745.1885557,1,6
1714173755.198821,1,7
1714173765.2091286,2,9
1714173775.2192996,0,9
1714173785.229514,0,9
1714173795.2396803,0,9
1714173805.2498214,0,9
1714173815.2563658,0,9
1714173825.2665014,1,10
1714173835.2764385,0,10
1714173845.286677,2,12
1714173855.2969735,1,13
1714173865.3072526,1,14
1714173875.317516,0,14
1714173885.3277788,1,15
1714173895.3380463,0,15
1714173905.348356,0,15
1714173915.3586252,2,17
1714173925.3689106,0,17
1714173935.376503,0,17
1714173945.3867457,1,18
1714173955.3970213,2,20
1714173965.4071937,1,21
1714173975.4173608,0,21
