Time,Latitude,Longitude,counts
1714173687.01,0,0,402.7
1714173696.97,0,0,49.4
1714173707.02,0,0,50.1
1714173717.0,0,0,55.5
1714173727.0,0,0,49.0
1714173737.0,0,0,48.2
1714173747.02,0,0,50.0
1714173757.0,0,0,53.7
1714173767.01,0,0,52.8
1714173776.97,0,0,51.1
1714173787.01,0,0,50.4
1714173796.97,0,0,47.0
1714173806.97,0,0,54.8
1714173816.98,0,0,54.3
1714173826.97,0,0,50.3
1714173836.98,0,0,51.9
1714173846.98,0,0,56.2
1714173856.95,0,0,56.2
1714173867.02,0,0,55.2
1714173877.02,0,0,51.8
1714173887.02,0,0,46.6
1714173897.02,0,0,49.3
1714173907.01,0,0,50.8
1714173917.03,0,0,47.4
1714173927.01,0,0,54.0
1714173937.02,0,0,49.2
1714173947.01,0,0,47.9
1714173957.01,0,0,51.8
1714173966.98,0,0,52.9
1714173976.98,0,0,51.0
