Time,Counts,Total Counts
1714174586.4818158,2,2
1714174596.4920301,1,3
1714174606.5022457,1,4
1714174616.5124962,1,5
1714174626.5227644,0,5
1714174636.5330226,0,5
1714174646.5432916,0,5
1714174656.5535393,0,5
1714174666.5637968,0,5
1714174676.5739522,1,6
1714174686.5840805,0,6
1714174696.5942183,0,6
1714174706.604374,2,8
1714174716.6144984,0,8
1714174726.6246364,1,9
1714174736.6347654,0,9
1714174746.64498,0,9
1714174756.655229,1,10
1714174766.665483,1,11
1714174776.675738,0,11
1714174786.685995,0,11
1714174796.6962347,0,11
1714174806.7065554,0,11
1714174816.7167814,0,11
1714174826.72703,0,11
1714174836.7372396,0,11
1714174846.7474897,0,11
1714174856.7577603,0,11
1714174866.7679331,0,11
1714174876.7780755,1,12
