Time,Latitude,Longitude,counts
1714174587.97,0,0,400.2
1714174598.0,0,0,46.1
1714174608.01,0,0,40.6
1714174617.98,0,0,43.8
1714174628.0,0,0,46.4
1714174638.02,0,0,43.5
1714174648.01,0,0,45.5
1714174658.02,0,0,44.2
1714174668.02,0,0,44.6
1714174677.99,0,0,48.4
1714174687.98,0,0,47.5
1714174697.98,0,0,49.4
1714174707.98,0,0,45.9
1714174717.97,0,0,42.8
1714174727.97,0,0,46.5
1714174737.97,0,0,45.7
1714174747.97,0,0,44.3
1714174757.95,0,0,44.3
1714174768.02,0,0,44.6
1714174778.02,0,0,45.2
1714174788.03,0,0,47.6
1714174797.97,0,0,40.9
1714174808.01,0,0,43.6
1714174818.02,0,0,43.5
1714174828.02,0,0,41.1
1714174838.01,0,0,43.6
1714174848.01,0,0,46.8
1714174857.97,0,0,46.1
1714174868.01,0,0,47.2
1714174877.97,0,0,46.5
1714174887.97,0,0,44.3
